field_name,required,data_type,source_system,source_field,scope,validation_rule,example_value,approved_by,approval_date,notes
organization,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Provisional technical field in 05A — confirm business ownership
code,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Provisional technical field in 05A — confirm format/reuse
name,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Provisional technical field in 05A
description,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Optional in provisional 05A model
is_active,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Lifecycle rule EVIDENCE REQUIRED
category,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Optional blank field in 05C — values EVIDENCE REQUIRED
brand,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Optional blank field in 05C — values EVIDENCE REQUIRED
uom,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Optional blank field in 05C — values EVIDENCE REQUIRED
pack_size,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Optional blank field in 05C — values EVIDENCE REQUIRED
barcode,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Optional blank field in 05C — values EVIDENCE REQUIRED
