template_code,template_name,template_revision,section_order,section_title,item_order,item_code,item_label,required,response_type,unit,minimum,maximum,select_options,notes
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,1,Area & Hygiene,1,FGQA-01,FG handling/storage area is clean and sanitary,true,YES_NO_NA,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,1,Area & Hygiene,2,FGQA-02,Required food-handler hygiene/PPE practices are followed,true,YES_NO_NA,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,1,Area & Hygiene,3,FGQA-03,"No visible pest activity, contamination or foreign material is observed",true,YES_NO,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,1,Area & Hygiene,4,FGQA-04,Applicable measuring device is within valid calibration/check status,true,YES_NO_NA,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,2,Product Identity & Traceability,1,FGQA-05,Physical product matches the selected FG Product,true,YES_NO,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,2,Product Identity & Traceability,2,FGQA-06,Product identification/label information is correct,true,YES_NO,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,2,Product Identity & Traceability,3,FGQA-07,Batch/Lot number is present and legible,true,YES_NO,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,2,Product Identity & Traceability,4,FGQA-08,Production date is present/correct where applicable,true,YES_NO_NA,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,2,Product Identity & Traceability,5,FGQA-09,Expiry/Best-Before information is present/correct where applicable,true,YES_NO_NA,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,2,Product Identity & Traceability,6,FGQA-10,Required storage/handling instructions are present where applicable,true,YES_NO_NA,,,,,PROPOSED DRAFT NOT APPROVED
